Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Admin_Tools,,,2018-12-11 15:16:48,2018-12-11 15:18:20,1m - 31.327s,FAILED
,,,,,,
Test Cases/AdminTools/InternalUser,,,2018-12-11 15:16:49,2018-12-11 15:17:20,31.378s,FAILED
"sc.sc_customkeywords.UniqueName(""UserName"")",,,2018-12-11 15:16:49,2018-12-11 15:16:50,1.055s,PASSED
"openBrowser("""")",,,2018-12-11 15:16:50,2018-12-11 15:16:58,7.367s,PASSED
maximizeWindow(),,,2018-12-11 15:16:58,2018-12-11 15:17:08,10.065s,PASSED
navigateToUrl(URL),,,2018-12-11 15:17:08,2018-12-11 15:17:20,12.118s,FAILED
,,,,,,
Test Cases/AdminTools/NewInternalUser,,,2018-12-11 15:17:20,2018-12-11 15:17:39,18.495s,FAILED
"openBrowser("""")",,,2018-12-11 15:17:20,2018-12-11 15:17:27,6.158s,PASSED
navigateToUrl(URL),,,2018-12-11 15:17:27,2018-12-11 15:17:39,12.042s,FAILED
,,,,,,
Test Cases/AdminTools/Roles,,,2018-12-11 15:17:39,2018-12-11 15:17:55,16.468s,FAILED
"openBrowser("""")",,,2018-12-11 15:17:39,2018-12-11 15:17:45,6.226s,PASSED
navigateToUrl(URL),,,2018-12-11 15:17:45,2018-12-11 15:17:55,10.074s,FAILED
,,,,,,
Test Cases/AdminTools/WorkGroup,,,2018-12-11 15:17:55,2018-12-11 15:18:20,24.562s,FAILED
"sc.sc_customkeywords.UniqueName(""WorkGroup"")",,,2018-12-11 15:17:55,2018-12-11 15:17:55,0.061s,PASSED
"openBrowser("""")",,,2018-12-11 15:17:55,2018-12-11 15:18:00,4.133s,PASSED
maximizeWindow(),,,2018-12-11 15:18:00,2018-12-11 15:18:08,8.028s,PASSED
navigateToUrl(URL),,,2018-12-11 15:18:08,2018-12-11 15:18:20,12.041s,FAILED
